num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,60,0,3,2.1627,0.947777194577931,"[0.7866376528911477, 0.7869449150077025, 0.7869220441385293]"
5,20,60,0,3,2.1601,0.9485032446861025,"[0.785729858662427, 0.7804012610327143, 0.790550645551241]"
5,20,60,0,4,2.7001,0.9554227720730664,"[0.7640776389530323, 0.7596907699032774, 0.7624342292507549, 0.7602652521421915]"
5,20,60,0,4,2.7043,0.9550302565877058,"[0.7598956037096541, 0.76162479186926, 0.7666019874283597, 0.7565015772983564]"
5,20,60,0,5,3.26,0.9612682338465076,"[0.7440472070468119, 0.745674325953937, 0.7440605985944891, 0.7453649647541172, 0.7459327988338269]"
5,20,60,0,5,3.249,0.9616628953280076,"[0.738723932910865, 0.7499576679679321, 0.7448784412365468, 0.7435269901465925, 0.7449787880351412]"
5,20,60,0,6,3.7647,0.9642216111347949,"[0.7298919725682518, 0.7277811407302373, 0.7374641133283478, 0.7359825747726498, 0.7286880497719728, 0.7317634440304334]"
5,20,60,0,6,3.7656,0.9642355067868384,"[0.7373308612538085, 0.7318990296757837, 0.7288948540066597, 0.7304563102724346, 0.7316537337586948, 0.7305914980470568]"
5,20,60,0,7,4.2782,0.9669197009461653,"[0.719827854069115, 0.7210455259716647, 0.7251945121110087, 0.7251147566360322, 0.725813333093508, 0.7197960890250226, 0.7216097337542405]"
5,20,60,0,7,4.2942,0.9670329880529968,"[0.7188114695375336, 0.7298882992759671, 0.7246645612059482, 0.7213959557129325, 0.7216140046495338, 0.7240064523957763, 0.717020209063878]"
5,20,60,0,8,4.801,0.9695985219542465,"[0.7150892874709065, 0.7174490156281695, 0.7159341033280768, 0.7174397457193622, 0.7195075407940302, 0.7160382184322669, 0.712809494355527, 0.7105083186176212]"
5,20,60,0,8,4.7995,0.969280326077382,"[0.7115950929099354, 0.7126930931204302, 0.7222973492344238, 0.7143896457816843, 0.7156829011253429, 0.7155688429427467, 0.7147023262274763, 0.7125535937814097]"
5,20,60,0,9,5.2999,0.9706454490699056,"[0.7111984110157873, 0.7070040463042222, 0.7092715046915249, 0.7086281299590478, 0.7064900411850152, 0.7050559797468547, 0.7096174567557045, 0.7087410114631792, 0.7087077840041519]"
5,20,60,0,9,5.2902,0.970250647144562,"[0.7077645756951397, 0.7110750972433572, 0.7086107924678516, 0.7088450013555221, 0.70823268977264, 0.7134769437748373, 0.7027729708913014, 0.7082545250358973, 0.7066566944920957]"
5,20,60,1,3,2.2088,0.938058059157931,"[0.7805283892349899, 0.7788188558930627, 0.7839630664074532]"
5,20,60,1,3,2.2098,0.9423257502947676,"[0.7833758516604715, 0.7844745640657276, 0.7828462978110184]"
5,20,60,1,4,2.7718,0.9482051928765359,"[0.7546730079068539, 0.7580097338598855, 0.7622829356898595, 0.7608748564003708]"
5,20,60,1,4,2.7479,0.9497400723807621,"[0.7496976409477591, 0.7560925489478837, 0.7562044182384363, 0.7610088210426302]"
5,20,60,1,5,3.3014,0.9521690205762501,"[0.7382833588555219, 0.7378588962633065, 0.7421698776129819, 0.7396739908477546, 0.7389064176879435]"
5,20,60,1,5,3.3214,0.9557809418053048,"[0.7353876256672054, 0.738311217454698, 0.7487536552531159, 0.7434923237062303, 0.75100761188605]"
5,20,60,1,6,3.8544,0.9580344937804087,"[0.7252345440500435, 0.727654100582513, 0.7308334629308506, 0.7307787291213883, 0.732685271401869, 0.7366318204787676]"
5,20,60,1,6,3.8494,0.9601287432574016,"[0.727989318433831, 0.7259652331931117, 0.7235595516618077, 0.7338386476128295, 0.7324158230440583, 0.7392792840458409]"
5,20,60,1,7,4.3491,0.959583907451183,"[0.7160038508931184, 0.7148982580808175, 0.7114514383778041, 0.7237235424253358, 0.719060743644532, 0.7233199613485161, 0.7207278069742807]"
5,20,60,1,7,4.3519,0.9642753074232605,"[0.7183665576901345, 0.7167457951618572, 0.7118421805489508, 0.7213851146350988, 0.7249975943965568, 0.7297428060057676, 0.7251611972396464]"
5,20,60,1,8,4.8839,0.9630202247528096,"[0.7060908775218359, 0.7082660184228565, 0.7053253253750691, 0.7204368853779861, 0.7172831973148516, 0.7075960429748486, 0.7154201850343018, 0.7203838531008231]"
5,20,60,1,8,4.8911,0.9659092373009746,"[0.7049447991479291, 0.7063080874219497, 0.7149644223599646, 0.7107597095019758, 0.7185219548743271, 0.7175722992236386, 0.7183440008265195, 0.7213340815468477]"
5,20,60,1,9,5.3899,0.9656578418732703,"[0.6971188029102587, 0.7001282289952548, 0.7072996146575657, 0.7065029519939763, 0.7079397271553654, 0.7045147273067122, 0.7158524932478543, 0.7124775020420261, 0.7105314044412445]"
