num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,60,0,3,2.154,0.9479410789651598,"[0.7854647774474269, 0.7821963074342997, 0.7859781073845777]"
5,20,60,0,3,2.1558,0.9492012667312554,"[0.7875216092179761, 0.7901600118399306, 0.7808699224095317]"
5,20,60,0,4,2.7058,0.9556140939359798,"[0.7580344648252617, 0.7540727923886251, 0.7643388515723977, 0.7631942652035731]"
5,20,60,0,4,2.7073,0.9551724878467596,"[0.7616597255889284, 0.7623745477309074, 0.7631642214600383, 0.7571471887017039]"
5,20,60,0,5,3.2424,0.9613548355390064,"[0.7408689972325688, 0.7463808818666, 0.7460447001305479, 0.7445111950143348, 0.7414440969344316]"
5,20,60,0,5,3.2456,0.9605941474929366,"[0.7445485071552508, 0.7435122559880192, 0.7464750160646639, 0.7445241061725244, 0.7394181999970332]"
5,20,60,0,6,3.761,0.964898241987082,"[0.7360831417600112, 0.7296029570962311, 0.7302523525715193, 0.7335146304538943, 0.7329883832200518, 0.7352174273585693]"
5,20,60,0,6,3.7681,0.963983281041239,"[0.7284578607123132, 0.7368891743688424, 0.7348892296367863, 0.7348954077698182, 0.7293368875301675, 0.7345236661212969]"
5,20,60,0,7,4.2779,0.9675031948985292,"[0.727135076716568, 0.7208472866983265, 0.7226075775065686, 0.725525351114356, 0.7252707121597561, 0.7218264848704458, 0.7207342451405775]"
5,20,60,0,7,4.2782,0.9666227592642681,"[0.7244333456716475, 0.7212939259909947, 0.71843326371167, 0.7203548074947891, 0.7249149781966802, 0.7275572433147335, 0.7161051307419837]"
5,20,60,0,8,4.7855,0.96897983072,"[0.7163406579436863, 0.7137522752785391, 0.7175241714985309, 0.7159504013258411, 0.7111690070999591, 0.7084428852594897, 0.715143742581989, 0.7185338835240461]"
5,20,60,0,8,4.7936,0.9691013999704648,"[0.7106585271406205, 0.7139252623276886, 0.7170562273423442, 0.7145400151436652, 0.7193170006373348, 0.7125391396442942, 0.7178456024235644, 0.7139576974196107]"
